,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,665,766,917,158,454,886,1151,96,1054,897,352,257,844,759,892,392,1019,951,354
1,1,1189,571,708,278,955,1090,345,624,935,1147,160,110,332,695,661,465,1114,578,1102
2,2,14,1297,291,316,460,336,269,256,1064,996,422,114,1053,359,697,675,1244,872,1308
3,3,426,1084,405,1338,1275,538,300,1257,506,535,822,523,80,156,16,49,902,251,260
4,4,1211,1198,1303,1220,1215,1293,9,1200,13,6,1193,1222,34,1196,32,1204,1287,1212,1199
5,5,8,1199,1215,6,33,1271,1211,1204,1299,32,1292,1287,1293,1193,1202,1187,1212,1302,1283
6,6,33,1299,5,1204,1302,1199,8,34,1212,26,1292,1233,1211,13,1273,1214,1271,1293,1353
7,7,1361,900,1228,441,898,1211,701,1357,1292,1282,26,1301,1268,1260,39,1232,1079,899,1329
8,8,5,33,1215,6,1204,1199,1211,428,351,320,88,471,1287,1305,740,1053,1192,844,769
9,9,1289,1293,1303,1287,4,28,1202,1281,1216,1211,1193,6,1355,1356,1200,1192,1209,34,1295
10,10,1228,1260,1209,34,29,1206,1270,1267,1263,1202,1294,1302,1207,1353,1216,1266,1261,6,1293
11,11,1279,1278,221,745,21,139,1298,913,195,344,438,823,680,985,1360,1272,1019,1029,25
12,12,221,445,985,745,139,360,1324,257,99,1336,540,314,680,812,359,343,808,195,234
13,13,1220,33,1282,1279,1200,6,1211,1272,1303,15,4,1199,1361,1265,21,1204,1299,1292,5
14,14,249,1297,1064,546,291,440,422,379,256,272,166,79,524,920,368,1244,931,255,941
15,15,745,13,1211,558,1287,1223,1220,755,21,1272,1203,1279,874,1200,823,1204,898,967,1079
16,16,117,779,1334,300,971,973,186,268,179,237,972,970,183,271,243,976,603,231,509
17,17,855,755,398,769,950,750,918,614,715,818,504,921,528,899,702,1107,928,882,554
18,18,66,596,65,607,1318,64,1117,371,608,63,1179,379,1044,255,155,73,95,85,256
19,19,822,1136,156,1317,1135,60,924,1093,52,49,301,1147,1084,902,843,941,1098,944,155
20,20,1081,1079,1322,1076,1112,1169,1045,898,59,784,1001,900,878,552,1347,895,1255,946,1055
21,21,1279,1361,1282,23,139,1298,33,195,438,404,814,344,745,1089,1019,1324,1360,1029,612
22,22,1355,1270,1290,1260,1233,1265,1354,1266,1261,1359,1303,1269,1302,1282,1263,7,1228,6,26
