,0,1,2,3,4
index,0,665,766,917,158
path,../data\0.jpg,../data\370.jpg,../data\461.jpg,../data\598.jpg,../data\114.jpg
index,1,1189,571,708,278
path,../data\1.jpg,../data\842.jpg,../data\286.jpg,../data\409.jpg,../data\1248.jpg
index,2,14,1297,291,316
path,../data\10.jpg,../data\101.jpg,../data\94.jpg,../data\126.jpg,../data\1282.jpg
index,3,426,1084,405,1338
path,../data\100.jpg,../data\155.jpg,../data\748.jpg,../data\1362.jpg,../data\977.jpg
index,4,1211,1198,1303,1220
path,../data\1000.jpg,../data\862.jpg,../data\850.jpg,../data\945.jpg,../data\870.jpg
index,5,8,1199,1215,6
path,../data\1001.jpg,../data\1004.jpg,../data\851.jpg,../data\866.jpg,../data\1002.jpg
index,6,33,1299,5,1204
path,../data\1002.jpg,../data\1027.jpg,../data\941.jpg,../data\1001.jpg,../data\856.jpg
index,7,1361,900,1228,441
path,../data\1003.jpg,../data\998.jpg,../data\582.jpg,../data\878.jpg,../data\169.jpg
index,8,5,33,1215,6
path,../data\1004.jpg,../data\1001.jpg,../data\1027.jpg,../data\866.jpg,../data\1002.jpg
index,9,1289,1293,1303,1287
path,../data\1005.jpg,../data\932.jpg,../data\936.jpg,../data\945.jpg,../data\930.jpg
index,10,1228,1260,1209,34
path,../data\1006.jpg,../data\878.jpg,../data\906.jpg,../data\860.jpg,../data\1028.jpg
index,11,1279,1278,221,745
path,../data\1007.jpg,../data\923.jpg,../data\922.jpg,../data\1197.jpg,../data\442.jpg
index,12,221,445,985,745
path,../data\1008.jpg,../data\1197.jpg,../data\172.jpg,../data\659.jpg,../data\442.jpg
index,13,1220,33,1282,1279
path,../data\1009.jpg,../data\870.jpg,../data\1027.jpg,../data\926.jpg,../data\923.jpg
index,14,249,1297,1064,546
path,../data\101.jpg,../data\1221.jpg,../data\94.jpg,../data\73.jpg,../data\263.jpg
index,15,745,13,1211,558
path,../data\1010.jpg,../data\442.jpg,../data\1009.jpg,../data\862.jpg,../data\274.jpg
index,16,117,779,1334,300
path,../data\1011.jpg,../data\1102.jpg,../data\473.jpg,../data\973.jpg,../data\1268.jpg
index,17,855,755,398,769
path,../data\1012.jpg,../data\541.jpg,../data\451.jpg,../data\1356.jpg,../data\464.jpg
index,18,66,596,65,607
path,../data\1013.jpg,../data\1057.jpg,../data\308.jpg,../data\1056.jpg,../data\318.jpg
index,19,822,1136,156,1317
path,../data\1014.jpg,../data\511.jpg,../data\795.jpg,../data\1138.jpg,../data\958.jpg
index,20,1081,1079,1322,1076
path,../data\1015.jpg,../data\745.jpg,../data\743.jpg,../data\962.jpg,../data\740.jpg
index,21,1279,1361,1282,23
path,../data\1016.jpg,../data\923.jpg,../data\998.jpg,../data\926.jpg,../data\1018.jpg
index,22,1355,1270,1290,1260
path,../data\1017.jpg,../data\992.jpg,../data\915.jpg,../data\933.jpg,../data\906.jpg
index,23,1298,124,1291,21
path,../data\1018.jpg,../data\940.jpg,../data\1109.jpg,../data\934.jpg,../data\1016.jpg
index,24,966,912,601,1312
path,../data\1019.jpg,../data\641.jpg,../data\593.jpg,../data\312.jpg,../data\953.jpg
index,25,1029,139,158,560
path,../data\102.jpg,../data\699.jpg,../data\1122.jpg,../data\114.jpg,../data\276.jpg
index,26,1282,1299,1265,1273
path,../data\1020.jpg,../data\926.jpg,../data\941.jpg,../data\910.jpg,../data\918.jpg
index,27,1266,1355,1290,1267
path,../data\1021.jpg,../data\911.jpg,../data\992.jpg,../data\933.jpg,../data\912.jpg
index,28,1231,1289,1280,1193
path,../data\1022.jpg,../data\880.jpg,../data\932.jpg,../data\924.jpg,../data\846.jpg
index,29,10,1290,1260,1261
path,../data\1023.jpg,../data\1006.jpg,../data\933.jpg,../data\906.jpg,../data\907.jpg
index,30,1296,1277,1183,1289
path,../data\1024.jpg,../data\939.jpg,../data\921.jpg,../data\837.jpg,../data\932.jpg
index,31,30,651,1296,1356
path,../data\1025.jpg,../data\1024.jpg,../data\358.jpg,../data\939.jpg,../data\993.jpg
index,32,1271,1193,1287,1210
path,../data\1026.jpg,../data\916.jpg,../data\846.jpg,../data\930.jpg,../data\861.jpg
index,33,8,6,21,5
path,../data\1027.jpg,../data\1004.jpg,../data\1002.jpg,../data\1016.jpg,../data\1001.jpg
index,34,1196,6,1209,10
path,../data\1028.jpg,../data\849.jpg,../data\1002.jpg,../data\860.jpg,../data\1006.jpg
index,35,158,357,94,25
path,../data\1029.jpg,../data\114.jpg,../data\1319.jpg,../data\1082.jpg,../data\102.jpg
index,36,942,401,507,512
path,../data\103.jpg,../data\62.jpg,../data\1359.jpg,../data\228.jpg,../data\232.jpg
index,37,227,1027,779,385
path,../data\1030.jpg,../data\1201.jpg,../data\697.jpg,../data\473.jpg,../data\1344.jpg
index,38,110,308,345,1189
path,../data\1031.jpg,../data\1097.jpg,../data\1275.jpg,../data\1308.jpg,../data\842.jpg
index,39,0,1361,158,665
path,../data\1032.jpg,../data\0.jpg,../data\998.jpg,../data\114.jpg,../data\370.jpg
index,40,1139,1170,1347,1076
path,../data\1033.jpg,../data\798.jpg,../data\825.jpg,../data\985.jpg,../data\740.jpg
index,41,723,1016,1320,870
path,../data\1034.jpg,../data\422.jpg,../data\687.jpg,../data\960.jpg,../data\555.jpg
index,42,255,372,367,48
path,../data\1035.jpg,../data\1227.jpg,../data\1332.jpg,../data\1328.jpg,../data\1040.jpg
index,43,857,73,1176,876
path,../data\1036.jpg,../data\543.jpg,../data\1063.jpg,../data\830.jpg,../data\560.jpg
index,44,1338,152,1039,153
path,../data\1037.jpg,../data\977.jpg,../data\1134.jpg,../data\707.jpg,../data\1135.jpg
index,45,1338,1304,1351,639
path,../data\1038.jpg,../data\977.jpg,../data\946.jpg,../data\989.jpg,../data\347.jpg
index,46,1075,156,924,1169
path,../data\1039.jpg,../data\74.jpg,../data\1138.jpg,../data\603.jpg,../data\824.jpg
index,47,453,1286,425,472
path,../data\104.jpg,../data\18.jpg,../data\93.jpg,../data\154.jpg,../data\197.jpg
index,48,42,1318,1179,1308
path,../data\1040.jpg,../data\1035.jpg,../data\959.jpg,../data\833.jpg,../data\95.jpg
index,49,1195,941,1351,1338
path,../data\1041.jpg,../data\848.jpg,../data\619.jpg,../data\989.jpg,../data\977.jpg
index,50,983,864,675,1097
path,../data\1042.jpg,../data\657.jpg,../data\55.jpg,../data\38.jpg,../data\76.jpg
index,51,1133,52,775,265
path,../data\1043.jpg,../data\792.jpg,../data\1044.jpg,../data\47.jpg,../data\1236.jpg
index,52,956,1347,60,958
path,../data\1044.jpg,../data\632.jpg,../data\985.jpg,../data\1051.jpg,../data\634.jpg
index,53,54,95,56,63
path,../data\1045.jpg,../data\1046.jpg,../data\1083.jpg,../data\1048.jpg,../data\1054.jpg
index,54,53,95,56,1310
path,../data\1046.jpg,../data\1045.jpg,../data\1083.jpg,../data\1048.jpg,../data\951.jpg
index,55,577,56,142,1313
path,../data\1047.jpg,../data\291.jpg,../data\1048.jpg,../data\1125.jpg,../data\954.jpg
index,56,318,1247,456,54
path,../data\1048.jpg,../data\1284.jpg,../data\895.jpg,../data\182.jpg,../data\1046.jpg
index,57,600,694,721,283
path,../data\1049.jpg,../data\311.jpg,../data\397.jpg,../data\420.jpg,../data\1252.jpg
index,58,1088,1146,305,122
path,../data\105.jpg,../data\751.jpg,../data\803.jpg,../data\1272.jpg,../data\1107.jpg
index,59,89,88,1314,1081
path,../data\1050.jpg,../data\1078.jpg,../data\1077.jpg,../data\955.jpg,../data\745.jpg
index,60,1081,1000,89,957
path,../data\1051.jpg,../data\745.jpg,../data\672.jpg,../data\1078.jpg,../data\633.jpg
index,61,76,81,1320,1256
path,../data\1052.jpg,../data\1066.jpg,../data\1070.jpg,../data\960.jpg,../data\902.jpg
index,62,273,1264,572,211
path,../data\1053.jpg,../data\1243.jpg,../data\91.jpg,../data\287.jpg,../data\1188.jpg
index,63,64,65,97,1117
path,../data\1054.jpg,../data\1055.jpg,../data\1056.jpg,../data\1085.jpg,../data\778.jpg
index,64,63,65,66,994
path,../data\1055.jpg,../data\1054.jpg,../data\1056.jpg,../data\1057.jpg,../data\667.jpg
index,65,66,64,95,63
path,../data\1056.jpg,../data\1057.jpg,../data\1055.jpg,../data\1083.jpg,../data\1054.jpg
index,66,65,64,95,63
path,../data\1057.jpg,../data\1056.jpg,../data\1055.jpg,../data\1083.jpg,../data\1054.jpg
index,67,95,54,396,154
