,0,1,2,3,4
0,0,665,766,917,158
1,1,1189,571,708,278
2,2,14,1297,291,316
3,3,426,1084,405,1338
4,4,1211,1198,1303,1220
5,5,8,1199,1215,6
6,6,33,1299,5,1204
7,7,1361,900,1228,441
8,8,5,33,1215,6
9,9,1289,1293,1303,1287
10,10,1228,1260,1209,34
11,11,1279,1278,221,745
12,12,221,445,985,745
13,13,1220,33,1282,1279
14,14,249,1297,1064,546
15,15,745,13,1211,558
16,16,117,779,1334,300
17,17,855,755,398,769
18,18,66,596,65,607
19,19,822,1136,156,1317
20,20,1081,1079,1322,1076
21,21,1279,1361,1282,23
22,22,1355,1270,1290,1260
23,23,1298,124,1291,21
24,24,966,912,601,1312
25,25,1029,139,158,560
26,26,1282,1299,1265,1273
27,27,1266,1355,1290,1267
28,28,1231,1289,1280,1193
29,29,10,1290,1260,1261
30,30,1296,1277,1183,1289
31,31,30,651,1296,1356
32,32,1271,1193,1287,1210
33,33,8,6,21,5
34,34,1196,6,1209,10
35,35,158,357,94,25
36,36,942,401,507,512
37,37,227,1027,779,385
38,38,110,308,345,1189
39,39,0,1361,158,665
40,40,1139,1170,1347,1076
41,41,723,1016,1320,870
42,42,255,372,367,48
43,43,857,73,1176,876
44,44,1338,152,1039,153
45,45,1338,1304,1351,639
46,46,1075,156,924,1169
47,47,453,1286,425,472
48,48,42,1318,1179,1308
49,49,1195,941,1351,1338
50,50,983,864,675,1097
51,51,1133,52,775,265
52,52,956,1347,60,958
53,53,54,95,56,63
54,54,53,95,56,1310
55,55,577,56,142,1313
56,56,318,1247,456,54
57,57,600,694,721,283
58,58,1088,1146,305,122
59,59,89,88,1314,1081
60,60,1081,1000,89,957
61,61,76,81,1320,1256
62,62,273,1264,572,211
63,63,64,65,97,1117
64,64,63,65,66,994
65,65,66,64,95,63
66,66,65,64,95,63
67,67,95,54,396,154
68,68,59,1081,959,1045
69,69,486,165,199,701
70,70,59,87,76,1314
71,71,81,1314,1030,837
72,72,75,1254,1247,141
73,73,1018,998,1176,1181
74,74,86,110,98,1053
75,75,1247,72,908,141
76,76,89,59,1314,61
77,77,87,118,387,662
78,78,52,1238,1133,278
79,79,272,1179,81,1244
80,80,440,1064,1275,224
81,81,97,1244,256,255
82,82,54,93,53,1024
83,83,1027,770,752,1025
84,84,76,61,924,367
85,85,1307,838,66,65
86,86,74,98,110,123
87,87,76,77,70,1234
88,88,1061,1118,1116,1062
89,89,59,88,1118,472
90,90,714,884,1320,1180
91,91,213,125,311,180
92,92,941,1234,248,14
93,93,311,1247,180,125
94,94,139,158,814,561
95,95,65,54,66,64
96,96,354,857,384,90
97,97,99,81,360,142
98,98,110,123,86,345
99,99,97,1313,1181,318
100,100,264,1305,882,874
101,101,689,156,1317,1238
102,102,180,125,191,202
103,103,157,155,1304,912
104,104,779,193,1144,265
105,105,112,141,1313,220
106,106,1250,109,253,111
107,107,201,143,485,115
