,0,1,2,3,4,5,6,7,8,9
index,0,665,766,917,158,454,886,1151,96,1054
index,1,1189,571,708,278,955,1090,345,624,935
index,2,14,1297,291,316,460,336,269,256,1064
index,3,426,1084,405,1338,1275,538,300,1257,506
index,4,1211,1198,1303,1220,1215,1293,9,1200,13
index,5,8,1199,1215,6,33,1271,1211,1204,1299
index,6,33,1299,5,1204,1302,1199,8,34,1212
index,7,1361,900,1228,441,898,1211,701,1357,1292
index,8,5,33,1215,6,1204,1199,1211,428,351
index,9,1289,1293,1303,1287,4,28,1202,1281,1216
index,10,1228,1260,1209,34,29,1206,1270,1267,1263
index,11,1279,1278,221,745,21,139,1298,913,195
index,12,221,445,985,745,139,360,1324,257,99
index,13,1220,33,1282,1279,1200,6,1211,1272,1303
index,14,249,1297,1064,546,291,440,422,379,256
index,15,745,13,1211,558,1287,1223,1220,755,21
index,16,117,779,1334,300,971,973,186,268,179
index,17,855,755,398,769,950,750,918,614,715
index,18,66,596,65,607,1318,64,1117,371,608
index,19,822,1136,156,1317,1135,60,924,1093,52
index,20,1081,1079,1322,1076,1112,1169,1045,898,59
index,21,1279,1361,1282,23,139,1298,33,195,438
index,22,1355,1270,1290,1260,1233,1265,1354,1266,1261
index,23,1298,124,1291,21,344,139,404,560,1361
index,24,966,912,601,1312,876,325,965,968,1046
index,25,1029,139,158,560,466,612,357,195,344
index,26,1282,1299,1265,1273,6,1204,33,1361,1199
index,27,1266,1355,1290,1267,1260,1354,1359,1187,1353
index,28,1231,1289,1280,1193,1293,9,1183,1229,1294
index,29,10,1290,1260,1261,1267,1263,1294,1302,1359
index,30,1296,1277,1183,1289,33,1357,31,1287,1294
index,31,30,651,1296,1356,39,844,1228,967,280
index,32,1271,1193,1287,1210,5,34,1215,1284,1205
index,33,8,6,21,5,1273,1277,1361,13,1299
index,34,1196,6,1209,10,1198,1293,1303,1354,1266
index,35,158,357,94,25,1029,161,1361,1268,1298
index,36,942,401,507,512,315,1238,462,407,1045
index,37,227,1027,779,385,708,1144,279,77,1025
index,38,110,308,345,1189,518,759,50,372,12
index,39,0,1361,158,665,23,917,7,1357,454
index,40,1139,1170,1347,1076,1238,1080,798,88,1329
index,41,723,1016,1320,870,1180,1170,989,1014,1017
index,42,255,372,367,48,368,1050,397,381,1013
index,43,857,73,1176,876,1306,1061,1320,1304,784
index,44,1338,152,1039,153,1179,1325,978,1304,49
index,45,1338,1304,1351,639,140,1046,978,915,186
index,46,1075,156,924,1169,728,1194,932,61,798
index,47,453,1286,425,472,1097,471,1241,609,675
index,48,42,1318,1179,1308,65,371,368,381,79
index,49,1195,941,1351,1338,95,1304,143,107,1234
index,50,983,864,675,1097,452,314,965,391,1103
index,51,1133,52,775,265,668,958,1257,78,592
index,52,956,1347,60,958,1081,775,1133,957,1047
index,53,54,95,56,63,1247,64,93,994,1311
index,54,53,95,56,1310,1247,1307,63,1309,1254
index,55,577,56,142,1313,141,318,1247,264,1248
index,56,318,1247,456,54,55,908,450,95,1311
index,57,600,694,721,283,991,662,361,375,77
index,58,1088,1146,305,122,853,951,124,593,121
index,59,89,88,1314,1081,76,1076,784,1118,1045
index,60,1081,1000,89,957,76,956,52,59,1242
index,61,76,81,1320,1256,866,89,798,1087,157
index,62,273,1264,572,211,826,147,1159,338,991
index,63,64,65,97,1117,994,66,73,95,256
index,64,63,65,66,994,95,73,1117,996,1176
index,65,66,64,95,63,497,1176,1179,73,379
index,66,65,64,95,63,1179,73,1176,1044,1307
index,67,95,54,396,154,1182,151,53,49,70
index,68,59,1081,959,1045,417,531,76,1022,879
index,69,486,165,199,701,953,720,1253,851,1252
index,70,59,87,76,1314,387,1243,1181,459,1238
index,71,81,1314,1030,837,988,990,1243,870,76
index,72,75,1254,1247,141,252,95,318,56,1168
index,73,1018,998,1176,1181,64,63,1117,350,1247
index,74,86,110,98,1053,123,1319,246,345,1230
index,75,1247,72,908,141,450,1254,456,93,252
index,76,89,59,1314,61,60,87,81,367,84
index,77,87,118,387,662,208,70,458,76,643
index,78,52,1238,1133,278,1194,1169,59,1255,959
index,79,272,1179,81,1244,256,1318,368,379,249
index,80,440,1064,1275,224,302,225,251,193,183
index,81,97,1244,256,255,79,379,1314,99,1118
index,82,54,93,53,1024,95,1247,1307,97,180
index,83,1027,770,752,1025,1030,1101,867,1034,945
index,84,76,61,924,367,1106,46,42,60,1174
index,85,1307,838,66,65,99,1310,839,1313,97
index,86,74,98,110,123,345,1230,327,113,1053
index,87,76,77,70,1234,1239,1314,60,1317,458
index,88,1061,1118,1116,1062,1076,1060,1059,714,483
index,89,59,88,1118,472,76,1314,99,1116,1242
index,90,714,884,1320,1180,1117,577,384,351,1017
index,91,213,125,311,180,191,202,920,908,437
index,92,941,1234,248,14,341,1030,546,79,49
index,93,311,1247,180,125,213,1244,56,95,202
index,94,139,158,814,561,404,195,1019,1029,560
index,95,65,54,66,64,379,63,73,53,56
index,96,354,857,384,90,1014,1113,205,73,351
index,97,99,81,360,142,1116,1307,63,1313,318
index,98,110,123,86,345,74,586,678,1053,1189
index,99,97,1313,1181,318,314,1116,1307,540,142
index,100,264,1305,882,874,165,1116,199,1130,953
index,101,689,156,1317,1238,610,157,696,155,87
index,102,180,125,191,202,380,213,318,471,1308
